,NAV
2011-07-14,0.6938993339092887
2011-07-15,0.6918153558402949
2011-07-18,0.681524328521916
2011-07-19,0.6725057709954476
2011-07-20,0.6755138854036067
2011-07-21,0.6727258544507222
2011-07-22,0.6819408576296803
2011-07-25,0.6866729076019602
2011-07-26,0.6882061647840824
2011-07-27,0.6868953163538936
2011-07-28,0.6891701849905424
2011-07-29,0.6871462968986554
2011-08-01,0.6782165999880008
2011-08-02,0.6786828669148244
2011-08-03,0.674590120128423
2011-08-04,0.6710947118766736
2011-08-05,0.6706413960735281
2011-08-08,0.66902672059062
2011-08-09,0.6727596497154371
2011-08-10,0.6701052938313333
2011-08-11,0.6718076117147758
2011-08-12,0.6654209284895013
2011-08-15,0.6582479242519752
2011-08-16,0.6594862423621033
2011-08-17,0.6564422492783266
2011-08-18,0.663126278173145
2011-08-19,0.6618593497018274
2011-08-22,0.6642986690296186
2011-08-23,0.6606854545309491
2011-08-24,0.6608684550215695
2011-08-25,0.6627793214077969
2011-08-26,0.673381912282308
2011-08-29,0.6746132548790603
2011-08-30,0.6727463353359502
2011-08-31,0.6746374409715402
2011-09-01,0.6707046544477063
2011-09-02,0.6710940309473746
2011-09-05,0.6611994270526727
2011-09-06,0.6584761919822576
2011-09-07,0.66100344781742
2011-09-08,0.6513487585977618
2011-09-09,0.6499817629222007
2011-09-13,0.6502561782313618
2011-09-14,0.6480152063584377
2011-09-15,0.641018298060548
2011-09-16,0.646981891328244
2011-09-19,0.6515470191579835
2011-09-20,0.6501562255498272
2011-09-21,0.6563530761077944
2011-09-22,0.658558425700948
2011-09-23,0.6542920865060508
2011-09-26,0.6539053925177253
2011-09-27,0.6523998305811595
2011-09-28,0.6519439397608501
2011-09-29,0.6516524466944952
2011-09-30,0.6552018372615105
2011-10-10,0.6553841456052233
2011-10-11,0.65634620620451
2011-10-12,0.6538404417728723
2011-10-13,0.6551446758982367
2011-10-14,0.6521674552698076
2011-10-17,0.6450465217631945
2011-10-18,0.6433837524914564
2011-10-19,0.6429907710249039
2011-10-20,0.6438032210601103
2011-10-21,0.6486630751064028
2011-10-24,0.6503895260965403
2011-10-25,0.649717736040567
2011-10-26,0.6473882696346877
2011-10-27,0.6467316968586669
2011-10-28,0.6399983694395202
2011-10-31,0.6392116501636828
2011-11-01,0.6402872188386084
2011-11-02,0.6340706310591795
2011-11-03,0.6338934801607237
2011-11-04,0.6288062638956124
2011-11-07,0.6266060745816584
2011-11-08,0.6252037263459184
2011-11-09,0.6218584539181721
2011-11-10,0.6226744838292919
2011-11-11,0.617821692306921
2011-11-14,0.6162809294064611
2011-11-15,0.6133311815762675
2011-11-16,0.6023972886246043
2011-11-17,0.5951789294780527
2011-11-18,0.5919196288341521
2011-11-21,0.5955721665109842
2011-11-22,0.5887596486747566
2011-11-23,0.5902710292524012
2011-11-24,0.5991206674065046
2011-11-25,0.5982918725498779
2011-11-28,0.603068637770184
2011-11-29,0.6070428866754255
2011-11-30,0.6043065520244114
2011-12-01,0.60314471091718
2011-12-02,0.5994782631203676
2011-12-05,0.6118200436619644
2011-12-06,0.6127820791810473
2011-12-07,0.6114365174620467
2011-12-08,0.6111785535791406
2011-12-09,0.6109006101650202
2011-12-12,0.6103421414331888
2011-12-13,0.6107820546172249
2011-12-14,0.6163321702639083
2011-12-15,0.6190803760899944
2011-12-16,0.6181918444782815
2011-12-19,0.6210880826325377
2011-12-20,0.6245014247183693
2011-12-21,0.6228415146724197
2011-12-22,0.6257860639819441
